time,neuron_id,neuron_pop_id
0.0911,230,0
0.1041,220,0
0.1082,680,0
0.1413,360,0
0.1419,430,0
0.1436,310,0
0.1495,660,0
0.1572,640,0
0.1656,630,0
0.1779,550,0
0.191,740,0
0.1997,330,0
0.2291,620,0
0.236,130,0
0.2563,390,0
0.2631,480,0
0.2695,590,0
0.2711,220,0
0.2885,170,0
0.2932,530,0
0.3281,510,0
0.3403,50,0
0.3423,70,0
0.4448,490,0
0.4455,790,0
0.4505,100,0
0.4638,720,0
0.5058,570,0
0.5412,10,0
0.5575,280,0
0.5649,80,0
0.5788,540,0
0.6066,750,0
0.621,50,0
0.6759,340,0
0.6866,30,0
0.6959,270,0
0.6963,20,0
0.6964,700,0
0.7496,500,0
0.7688,650,0
0.7905,770,0
0.7966,630,0
0.8016,110,0
0.814,680,0
0.8287,630,0
0.8359,0,0
0.8359,100,0
0.839,270,0
0.8666,460,0
0.8709,30,0
0.8768,50,0
0.8859,10,0
0.8871,140,0
0.8928,590,0
0.9228,740,0
0.9454,670,0
0.9458,640,0
0.9589,140,0
1.0007,400,0
1.0051,650,0
1.0061,770,0
1.0062,710,0
1.0082,740,0
1.0086,630,0
1.0087,210,0
1.0089,500,0
1.009,250,0
1.0091,90,0
1.0096,20,0
1.011,320,0
1.0111,730,0
1.0113,190,0
1.0117,140,0
1.0117,480,0
1.0117,590,0
1.0149,390,0
1.0152,0,0
1.0157,270,0
1.016,70,0
1.0161,680,0
1.0162,30,0
1.0164,610,0
1.0176,170,0
1.0177,790,0
1.0181,100,0
1.0185,120,0
1.0191,240,0
1.0191,740,0
1.0192,200,0
1.02,670,0
1.0202,470,0
1.0214,300,0
1.0217,160,0
1.0222,250,0
1.0223,60,0
1.0224,490,0
1.0226,280,0
1.023,10,0
1.0232,220,0
1.0233,90,0
1.0233,420,0
1.0234,30,0
1.0234,340,0
1.0238,370,0
1.0241,480,0
1.0246,400,0
1.0249,700,0
1.0251,780,0
1.026,640,0
1.0268,80,0
1.027,140,0
1.027,350,0
1.0273,580,0
1.0273,620,0
1.0275,180,0
1.0279,710,0
1.0282,600,0
1.0288,250,0
1.0288,440,0
1.0288,520,0
1.0295,510,0
1.0296,790,0
1.0303,530,0
1.0314,660,0
1.0329,170,0
1.0329,670,0
1.0333,280,0
1.0336,460,0
1.0339,360,0
1.0341,570,0
1.0342,550,0
1.0345,0,0
1.0351,290,0
1.0355,430,0
1.0355,560,0
1.0356,130,0
1.0369,420,0
1.0369,720,0
1.037,20,0
1.0373,270,0
1.0378,450,0
1.0383,630,0
1.0384,60,0
1.0388,500,0
1.039,320,0
1.0397,340,0
1.0399,440,0
1.0399,480,0
1.0406,10,0
1.0411,650,0
1.0412,180,0
1.0413,490,0
1.0415,410,0
1.0425,680,0
1.043,570,0
1.043,590,0
1.044,470,0
1.0447,200,0
1.0448,750,0
1.0455,210,0
1.0455,400,0
1.0458,730,0
1.0461,760,0
1.0465,150,0
1.0495,30,0
1.0507,360,0
1.0509,160,0
1.0511,390,0
1.0517,290,0
1.0525,780,0
1.0528,330,0
1.0531,380,0
1.0532,200,0
1.0533,690,0
1.0536,560,0
1.0539,80,0
1.054,220,0
1.0545,580,0
1.0548,300,0
1.0554,50,0
1.0561,70,0
1.0564,710,0
1.0571,470,0
1.0573,640,0
1.0577,770,0
1.0585,250,0
1.0585,370,0
1.0585,500,0
1.0586,450,0
1.0588,210,0
1.059,650,0
1.0593,540,0
1.0596,700,0
1.0603,190,0
1.0611,430,0
1.0617,440,0
1.0618,280,0
1.0626,180,0
1.0627,600,0
1.0629,10,0
1.063,420,0
1.0632,320,0
1.0635,90,0
1.0637,340,0
1.064,120,0
1.0641,150,0
1.0647,480,0
1.0649,350,0
1.0656,360,0
1.0672,140,0
1.0679,620,0
1.0688,560,0
1.0694,330,0
1.0701,550,0
1.0703,670,0
1.0705,410,0
1.0709,50,0
1.0714,760,0
1.0715,260,0
1.0718,60,0
1.0719,460,0
1.0722,40,0
1.0731,480,0
1.0737,660,0
1.0754,740,0
1.0777,270,0
1.0778,210,0
1.0782,100,0
1.0806,490,0
1.081,510,0
1.081,720,0
1.0811,530,0
1.0819,310,0
1.0831,690,0
1.0831,730,0
1.0832,610,0
1.0834,20,0
1.0836,620,0
1.0841,0,0
1.0863,740,0
1.0871,50,0
1.0871,400,0
1.0873,630,0
1.0875,80,0
1.0879,190,0
1.0879,500,0
1.0887,140,0
1.089,260,0
1.0908,130,0
1.0909,440,0
1.091,120,0
1.0924,70,0
1.0924,540,0
1.0925,430,0
1.0933,240,0
1.0933,640,0
